frame_id,x,y,z,saglik,kaynak,islem_suresi_s
73,-34.129842,-24.961460,0.126485,1,echo,0.0339
74,-34.740892,-25.605893,0.123418,1,echo,0.0314
75,-35.340705,-26.268262,0.120584,1,echo,0.0338
76,-35.924108,-26.943712,0.119434,1,echo,0.0309
77,-36.500576,-27.625219,0.120091,1,echo,0.0322
78,-37.072714,-28.316813,0.121745,1,echo,0.0319
79,-37.626124,-29.005245,0.126171,1,echo,0.0345
80,-38.165918,-29.700828,0.132723,1,echo,0.0343
81,-38.695599,-30.403599,0.141320,1,echo,0.0310
82,-39.210558,-31.109828,0.152036,1,echo,0.0348
83,-39.713153,-31.814850,0.164900,1,echo,0.0344
84,-40.199007,-32.519102,0.179875,1,echo,0.0398
85,-40.669047,-33.214362,0.197405,1,echo,0.0396
86,-41.127521,-33.898397,0.216928,1,echo,0.0398
87,-41.554225,-34.573422,0.236246,1,echo,0.0397
88,-41.962287,-35.227986,0.255892,1,echo,0.0398
89,-42.348650,-35.867436,0.274410,1,echo,0.0399
90,-42.715621,-36.499268,0.290892,1,echo,0.0418
91,-43.063382,-37.106392,0.305135,1,echo,0.0407
92,-43.386447,-37.702941,0.317457,1,echo,0.0426
93,-43.686440,-38.285869,0.327598,1,echo,0.0400
94,-43.972518,-38.859590,0.335179,1,echo,0.0403
95,-44.234272,-39.413255,0.340814,1,echo,0.0402
96,-44.482110,-39.964379,0.344088,1,echo,0.0388
97,-44.716760,-40.501483,0.345524,1,echo,0.0451
98,-44.934584,-41.016786,0.344998,1,echo,0.0446
99,-45.129832,-41.523290,0.342395,1,echo,0.0360
100,-45.306769,-42.022193,0.338750,1,echo,0.0353
101,-45.459232,-42.515642,0.334417,1,echo,0.0355
102,-45.596659,-42.999834,0.329667,1,echo,0.0334
103,-45.714785,-43.472148,0.325046,1,echo,0.0319
104,-45.816894,-43.935744,0.320820,1,echo,0.0362
105,-45.903391,-44.399576,0.315129,1,echo,0.0362
106,-45.977024,-44.865492,0.308564,1,echo,0.0346
107,-46.033234,-45.327382,0.302676,1,echo,0.0367
108,-46.082546,-45.794121,0.297900,1,echo,0.0337
109,-46.116095,-46.255629,0.294614,1,echo,0.0333
110,-46.133897,-46.712506,0.293167,1,echo,0.0369
111,-46.145838,-47.170137,0.293519,1,echo,0.0365
112,-46.141724,-47.626513,0.295473,1,echo,0.0363
113,-46.122708,-48.086511,0.299008,1,echo,0.0364
114,-46.092667,-48.546912,0.303258,1,echo,0.0337
115,-46.047748,-49.004496,0.307925,1,echo,0.0373
116,-45.987829,-49.459864,0.311905,1,echo,0.0408
117,-45.906819,-49.923504,0.313845,1,echo,0.0419
118,-45.801062,-50.386943,0.315157,1,echo,0.0427
119,-45.672235,-50.848570,0.316469,1,echo,0.0386
120,-45.523520,-51.306777,0.317410,1,echo,0.0372
121,-45.343205,-51.760939,0.318442,1,echo,0.0337
122,-45.146909,-52.214543,0.319185,1,echo,0.0372
123,-44.937132,-52.652443,0.319944,1,echo,0.0386
124,-44.705501,-53.087487,0.320381,1,echo,0.0371
125,-44.452829,-53.525935,0.319984,1,echo,0.0370
126,-44.183176,-53.958208,0.318497,1,echo,0.0377
127,-43.899158,-54.380849,0.316127,1,echo,0.0343
128,-43.600492,-54.795687,0.312956,1,echo,0.0355
129,-43.287881,-55.199119,0.309141,1,echo,0.0367
130,-42.957085,-55.590906,0.303562,1,echo,0.0335
131,-42.603843,-55.976098,0.297027,1,echo,0.0381
132,-42.238972,-56.354311,0.290411,1,echo,0.0431
133,-41.857253,-56.734403,0.283683,1,echo,0.0420
134,-41.463733,-57.106380,0.276356,1,echo,0.0432
135,-41.053623,-57.471147,0.269069,1,echo,0.0429
136,-40.625142,-57.835779,0.261229,1,echo,0.0431
137,-40.176497,-58.193505,0.252643,1,echo,0.0445
138,-39.717119,-58.548448,0.243740,1,echo,0.0444
139,-39.248225,-58.898827,0.234756,1,echo,0.0434
140,-38.762823,-59.245026,0.225863,1,echo,0.0437
141,-38.265138,-59.581994,0.216891,1,echo,0.0335
142,-37.748762,-59.909971,0.207544,1,echo,0.0375
143,-37.216991,-60.232561,0.199088,1,echo,0.0373
144,-36.686087,-60.547933,0.191451,1,echo,0.0381
145,-36.140955,-60.859331,0.183864,1,echo,0.0344
146,-35.584389,-61.167353,0.176381,1,echo,0.0383
147,-35.020805,-61.468948,0.168987,1,echo,0.0352
148,-34.450204,-61.762916,0.161587,1,echo,0.0374
149,-33.873144,-62.040982,0.154267,1,echo,0.0371
150,-33.287553,-62.319744,0.147138,1,echo,0.0376
151,-32.689477,-62.590080,0.139849,1,echo,0.0393
152,-32.081793,-62.856574,0.132288,1,echo,0.0340
153,-31.462879,-63.110969,0.124686,1,echo,0.0348
154,-30.832733,-63.354899,0.117233,1,echo,0.0390
155,-30.192979,-63.592167,0.109702,1,echo,0.0340
156,-29.546866,-63.820628,0.102505,1,echo,0.0338
157,-28.889383,-64.033418,0.095596,1,echo,0.0340
158,-28.228230,-64.240960,0.088260,1,echo,0.0385
159,-27.566607,-64.436050,0.080944,1,echo,0.0371
160,-26.897358,-64.627573,0.074042,1,echo,0.0412
161,-26.220143,-64.805748,0.067496,1,echo,0.0399
162,-25.536740,-64.981574,0.061397,1,echo,0.0417
163,-24.852141,-65.152012,0.055156,1,echo,0.0401
164,-24.164399,-65.327371,0.048974,1,echo,0.0384
165,-23.474208,-65.485798,0.043520,1,echo,0.0373
166,-22.780530,-65.636561,0.037604,1,echo,0.0379
167,-22.079950,-65.779208,0.032178,1,echo,0.0380
168,-21.374790,-65.910989,0.028559,1,echo,0.0339
169,-20.667193,-66.034088,0.026528,1,echo,0.0436
170,-19.957955,-66.168751,0.026719,1,echo,0.0422
171,-19.238986,-66.297952,0.029978,1,echo,0.0440
172,-18.507650,-66.423711,0.034999,1,echo,0.0444
173,-17.776147,-66.554347,0.041027,1,echo,0.0434
174,-17.046964,-66.679541,0.047400,1,echo,0.0450
175,-16.306244,-66.802924,0.052997,1,echo,0.0389
176,-15.565101,-66.928257,0.056954,1,echo,0.0372
177,-14.820554,-67.047112,0.058210,1,echo,0.0392
178,-14.073385,-67.158118,0.056123,1,echo,0.0382
179,-13.321107,-67.266106,0.051466,1,echo,0.0406
180,-12.571079,-67.375905,0.045124,1,echo,0.0380
181,-11.821291,-67.492344,0.037415,1,echo,0.0378
182,-11.077290,-67.616433,0.029753,1,echo,0.0336
183,-10.333284,-67.739294,0.021983,1,echo,0.0379
184,-9.595381,-67.871010,0.013819,1,echo,0.0347
185,-8.870774,-68.010978,0.005743,1,echo,0.0379
186,-8.154795,-68.148713,-0.002534,1,echo,0.0387
187,-7.444424,-68.292686,-0.010608,1,echo,0.0384
188,-6.743203,-68.447260,-0.018283,1,echo,0.0347
189,-6.053051,-68.606398,-0.025665,1,echo,0.0382
190,-5.375960,-68.752182,-0.032474,1,echo,0.0372
191,-4.702910,-68.891325,-0.039497,1,echo,0.0373
192,-4.039231,-69.025437,-0.047237,1,echo,0.0347
193,-3.384612,-69.157113,-0.056110,1,echo,0.0394
194,-2.737773,-69.293062,-0.066136,1,echo,0.0334
195,-2.091950,-69.421356,-0.076404,1,echo,0.0380
196,-1.461179,-69.550877,-0.085576,1,echo,0.0379
197,-0.838339,-69.672749,-0.093057,1,echo,0.0386
198,-0.222163,-69.793084,-0.098200,1,echo,0.0379
199,0.387349,-69.917107,-0.100364,1,echo,0.0385
200,0.988930,-70.033820,-0.099617,1,echo,0.0357
201,1.575458,-70.144905,-0.096242,1,echo,0.0342
202,2.155779,-70.239282,-0.090723,1,echo,0.0378
203,2.732280,-70.314273,-0.084315,1,echo,0.0347
204,3.305354,-70.382879,-0.078601,1,echo,0.0375
205,3.872726,-70.439437,-0.074701,1,echo,0.0473
206,4.434652,-70.494368,-0.072743,1,echo,0.0451
207,4.987275,-70.535368,-0.071631,1,echo,0.0417
208,5.530758,-70.577784,-0.070991,1,echo,0.0384
209,6.076559,-70.618322,-0.071017,1,echo,0.0407
210,6.622040,-70.661271,-0.071501,1,echo,0.0413
211,7.172866,-70.705271,-0.072641,1,echo,0.0467
212,7.721102,-70.743991,-0.074098,1,echo,0.0450
213,8.266292,-70.796624,-0.075567,1,echo,0.0397
214,8.810874,-70.842596,-0.076795,1,echo,0.0417
215,9.357283,-70.889775,-0.077080,1,echo,0.0409
216,9.907955,-70.940928,-0.077290,1,echo,0.0417
217,10.460635,-70.988806,-0.078322,1,echo,0.0428
218,11.007729,-71.044240,-0.079418,1,echo,0.0444
219,11.550864,-71.093635,-0.080807,1,echo,0.0415
220,12.092477,-71.145608,-0.081988,1,echo,0.0444
221,12.635004,-71.201004,-0.083277,1,echo,0.0387
222,13.177019,-71.245679,-0.084415,1,echo,0.0428
223,13.725688,-71.299970,-0.086332,1,echo,0.0398
224,14.280752,-71.356225,-0.089262,1,echo,0.0384
225,14.831965,-71.422113,-0.093132,1,echo,0.0449
226,15.385273,-71.498834,-0.097901,1,echo,0.0332
227,15.946804,-71.587292,-0.102889,1,echo,0.0393
228,16.516556,-71.682597,-0.108671,1,echo,0.0382
229,17.093623,-71.787141,-0.113983,1,echo,0.0366
230,17.666543,-71.890233,-0.117889,1,echo,0.0381
231,18.237957,-71.992921,-0.119769,1,echo,0.0439
232,18.807391,-72.099029,-0.119295,1,echo,0.0471
233,19.373627,-72.216719,-0.116711,1,echo,0.0401
234,19.935448,-72.327942,-0.112007,1,echo,0.0412
235,20.501519,-72.436738,-0.106805,1,echo,0.0434
236,21.068609,-72.546495,-0.101723,1,echo,0.0407
237,21.628125,-72.669353,-0.098144,1,echo,0.0460
238,22.189033,-72.807332,-0.096045,1,echo,0.0434
239,22.746086,-72.943408,-0.093995,1,echo,0.0402
240,23.298420,-73.097825,-0.091333,1,echo,0.0420
241,23.852443,-73.252843,-0.087128,1,echo,0.0494
242,24.400223,-73.419398,-0.080737,1,echo,0.0395
243,24.941304,-73.595741,-0.072276,1,echo,0.0462
244,25.483313,-73.784133,-0.062750,1,echo,0.0357
245,26.019536,-73.976167,-0.051903,1,echo,0.0320
246,26.550734,-74.166395,-0.040445,1,echo,0.0383
247,27.081308,-74.359634,-0.029814,1,echo,0.0468
248,27.618768,-74.565617,-0.020721,1,echo,0.0345
249,28.156527,-74.786498,-0.014146,1,echo,0.0389
250,28.693858,-75.014825,-0.009866,1,echo,0.0341
251,29.225604,-75.245786,-0.006692,1,echo,0.0381
252,29.755827,-75.490405,-0.004870,1,echo,0.0342
253,30.293683,-75.739800,-0.003822,1,echo,0.0378
254,30.825517,-76.003750,-0.003194,1,echo,0.0377
255,31.357505,-76.276359,-0.003651,1,echo,0.0484
256,31.886438,-76.548326,-0.005779,1,echo,0.0449
257,32.410804,-76.820048,-0.007946,1,echo,0.0434
258,32.932950,-77.103663,-0.009966,1,echo,0.0454
259,33.453914,-77.389328,-0.011945,1,echo,0.0424
260,33.974068,-77.674006,-0.014549,1,echo,0.0428
261,34.490693,-77.975596,-0.017668,1,echo,0.0426
262,35.010688,-78.281248,-0.021676,1,echo,0.0453
263,35.522833,-78.584705,-0.027430,1,echo,0.0410
264,36.035742,-78.900646,-0.034365,1,echo,0.0428
265,36.553086,-79.220190,-0.041323,1,echo,0.0390
266,37.064865,-79.552213,-0.047330,1,echo,0.0341
267,37.574783,-79.890604,-0.052450,1,echo,0.0422
268,38.082530,-80.224147,-0.057103,1,echo,0.0429
269,38.590533,-80.563390,-0.060917,1,echo,0.0432
270,39.099476,-80.907982,-0.064154,1,echo,0.0421
271,39.600383,-81.255566,-0.067746,1,echo,0.0451
272,40.103151,-81.603303,-0.072435,1,echo,0.0478
273,40.603582,-81.963675,-0.078180,1,echo,0.0481
274,41.101984,-82.319974,-0.085699,1,echo,0.0429
275,41.596427,-82.679850,-0.094350,1,echo,0.0475
276,42.086330,-83.056384,-0.102176,1,echo,0.0417
277,42.577743,-83.431838,-0.107158,1,echo,0.0332
278,43.065908,-83.824308,-0.107994,1,echo,0.0375
279,43.551805,-84.212478,-0.104606,1,echo,0.0373
280,44.034034,-84.604004,-0.098300,1,echo,0.0432
281,44.510276,-84.998502,-0.088799,1,echo,0.0417
282,44.983944,-85.401024,-0.075754,1,echo,0.0431
283,45.447101,-85.812316,-0.060072,1,echo,0.0365
284,45.907553,-86.233871,-0.043277,1,echo,0.0425
285,46.359006,-86.653983,-0.025950,1,echo,0.0462
286,46.808162,-87.070803,-0.008664,1,echo,0.0430
287,47.255546,-87.494264,0.007803,1,echo,0.0431
288,47.700461,-87.921099,0.023128,1,echo,0.0410
289,48.144180,-88.342484,0.037626,1,echo,0.0369
290,48.594793,-88.779719,0.051599,1,echo,0.0526
291,49.044389,-89.210791,0.064424,1,echo,0.0469
292,49.488387,-89.643271,0.075545,1,echo,0.0417
293,49.925181,-90.078769,0.085804,1,echo,0.0438
294,50.357545,-90.518897,0.095538,1,echo,0.0428
295,50.779407,-90.959684,0.104464,1,echo,0.0417
296,51.199205,-91.411588,0.111956,1,echo,0.0417
297,51.615626,-91.860315,0.118779,1,echo,0.0418
298,52.025843,-92.305914,0.124214,1,echo,0.0411
299,52.434604,-92.754980,0.128453,1,echo,0.0442
300,52.836909,-93.205318,0.132042,1,echo,0.0434
301,53.236593,-93.649847,0.135561,1,echo,0.0419
302,53.641612,-94.107429,0.139393,1,echo,0.0410
303,54.047887,-94.567426,0.142951,1,echo,0.0399
304,54.443735,-95.017400,0.146308,1,echo,0.0433
305,54.836428,-95.465976,0.149466,1,echo,0.0459
306,55.219424,-95.907169,0.152489,1,echo,0.0452
307,55.598404,-96.350869,0.154789,1,echo,0.0394
308,55.979644,-96.805696,0.156823,1,echo,0.0450
309,56.349536,-97.264603,0.158679,1,echo,0.0399
310,56.713104,-97.732520,0.158918,1,echo,0.0419
311,57.069611,-98.207720,0.158165,1,echo,0.0428
312,57.421120,-98.686633,0.156867,1,echo,0.0444
313,57.772852,-99.170329,0.155256,1,echo,0.0458
314,58.132044,-99.670475,0.153262,1,echo,0.0419
315,58.487007,-100.166796,0.151052,1,echo,0.0420
316,58.835608,-100.645614,0.148621,1,echo,0.0396
317,59.191958,-101.122600,0.146637,1,echo,0.0428
318,59.541924,-101.585935,0.144992,1,echo,0.0432
319,59.900845,-102.043799,0.144226,1,echo,0.0434
320,60.258576,-102.486640,0.144755,1,echo,0.0455
321,60.611305,-102.921714,0.145820,1,echo,0.0415
322,60.961574,-103.352465,0.147071,1,echo,0.0453
323,61.303483,-103.779867,0.148806,1,echo,0.0448
324,61.658335,-104.210519,0.150747,1,echo,0.0427
325,62.012120,-104.639093,0.152832,1,echo,0.0392
326,62.358305,-105.066057,0.155063,1,echo,0.0399
327,62.696245,-105.483934,0.158046,1,echo,0.0484
328,63.043874,-105.909959,0.161836,1,echo,0.0415
329,63.392039,-106.341434,0.167021,1,echo,0.0447
330,63.742222,-106.767113,0.172770,1,echo,0.0443
331,64.089030,-107.186007,0.179765,1,echo,0.0472
332,64.429968,-107.607409,0.187063,1,echo,0.0418
333,64.768810,-108.029058,0.194558,1,echo,0.0426
334,65.099430,-108.450442,0.201880,1,echo,0.0430
335,65.427954,-108.876840,0.207997,1,echo,0.0436
336,65.759584,-109.295427,0.212545,1,echo,0.0459
337,66.081778,-109.703515,0.215661,1,echo,0.0438
338,66.402984,-110.106545,0.218076,1,echo,0.0450
339,66.723797,-110.498817,0.220160,1,echo,0.0467
340,67.048722,-110.889925,0.221462,1,echo,0.0411
341,67.378975,-111.269178,0.222337,1,echo,0.0384
342,67.714868,-111.633091,0.221756,1,echo,0.0457
343,68.046158,-111.995037,0.219202,1,echo,0.0449
344,68.382827,-112.357853,0.213593,1,echo,0.0429
345,68.721849,-112.720553,0.205697,1,echo,0.0466
346,69.059701,-113.079024,0.194714,1,echo,0.0419
347,69.398467,-113.439041,0.181156,1,echo,0.0421
348,69.738147,-113.801228,0.164851,1,echo,0.0431
349,70.078740,-114.160685,0.147696,1,echo,0.0428
350,70.415652,-114.521484,0.131996,1,echo,0.0444
351,70.748630,-114.883277,0.118855,1,echo,0.0429
352,71.082649,-115.249804,0.109044,1,echo,0.0455
353,71.414245,-115.605455,0.103484,1,echo,0.0403
354,71.752083,-115.965169,0.101186,1,echo,0.0424
355,72.094946,-116.329109,0.102062,1,echo,0.0482
356,72.441616,-116.697439,0.105311,1,echo,0.0432
357,72.790874,-117.071046,0.110641,1,echo,0.0422
358,73.139419,-117.438769,0.116700,1,echo,0.0418
359,73.485694,-117.809869,0.122774,1,echo,0.0415
360,73.837146,-118.177484,0.128530,1,echo,0.0431
361,74.189256,-118.547201,0.134207,1,echo,0.0437
362,74.539247,-118.927741,0.140363,1,echo,0.0451
363,74.893350,-119.311617,0.147081,1,echo,0.0434
364,75.245827,-119.701331,0.154100,1,echo,0.0429
365,75.598809,-120.084397,0.161184,1,echo,0.0456
366,75.962671,-120.482784,0.168836,1,echo,0.0428
367,76.326042,-120.878910,0.176338,1,echo,0.0455
368,76.695509,-121.275613,0.183154,1,echo,0.0419
369,77.061915,-121.675250,0.189620,1,echo,0.0457
370,77.429541,-122.080924,0.194221,1,echo,0.0417
371,77.801314,-122.482539,0.197723,1,echo,0.0412
372,78.177252,-122.879856,0.199482,1,echo,0.0415
373,78.548622,-123.284418,0.198216,1,echo,0.0401
374,78.912817,-123.694567,0.193840,1,echo,0.0410
375,79.275220,-124.109656,0.187358,1,echo,0.0417
376,79.629366,-124.540892,0.179732,1,echo,0.0435
377,79.986751,-124.965861,0.172646,1,echo,0.0406
378,80.343110,-125.393857,0.166978,1,echo,0.0414
379,80.701752,-125.814562,0.162509,1,echo,0.0410
380,81.069849,-126.236293,0.161040,1,echo,0.0424
381,81.437499,-126.663256,0.162190,1,echo,0.0398
382,81.807433,-127.094850,0.165096,1,echo,0.0414
383,82.182382,-127.515484,0.170073,1,echo,0.0420
384,82.556890,-127.940096,0.175485,1,echo,0.0455
385,82.922227,-128.376782,0.180411,1,echo,0.0406
386,83.283764,-128.825544,0.184555,1,echo,0.0411
387,83.641009,-129.286380,0.188638,1,echo,0.0406
388,84.000794,-129.755468,0.192727,1,echo,0.0411
389,84.364346,-130.219103,0.195986,1,echo,0.0408
390,84.726654,-130.682537,0.197074,1,echo,0.0418
391,85.095357,-131.144160,0.195963,1,echo,0.0418
392,85.471968,-131.602361,0.192179,1,echo,0.0399
393,85.845366,-132.055531,0.184097,1,echo,0.0428
394,86.219422,-132.502060,0.172297,1,echo,0.0406
395,86.599749,-132.940339,0.157232,1,echo,0.0417
396,86.982985,-133.381819,0.140127,1,echo,0.0411
397,87.360855,-133.826053,0.122034,1,echo,0.0427
398,87.746663,-134.270286,0.105709,1,echo,0.0424
399,88.124534,-134.714519,0.093388,1,echo,0.0408
400,88.505686,-135.155999,0.085806,1,echo,0.0417
401,88.881508,-135.594277,0.082225,1,echo,0.0429
402,89.262493,-136.040806,0.083169,1,echo,0.0437
403,89.641802,-136.493976,0.087793,1,echo,0.0407
404,90.020074,-136.952177,0.094160,1,echo,0.0406
405,90.390408,-137.413799,0.101278,1,echo,0.0405
406,90.766107,-137.874479,0.108591,1,echo,0.0435
407,91.145024,-138.332158,0.114943,1,echo,0.0406
408,91.520022,-138.796680,0.119705,1,echo,0.0402
409,91.891109,-139.264824,0.123263,1,echo,0.0420
410,92.263901,-139.733370,0.127426,1,echo,0.0414
411,92.631494,-140.205962,0.132609,1,echo,0.0420
412,93.005111,-140.667282,0.138246,1,echo,0.0416
413,93.378402,-141.119995,0.144592,1,echo,0.0437
414,93.762233,-141.577429,0.151878,1,echo,0.0415
415,94.146486,-142.022385,0.158747,1,echo,0.0387
416,94.535141,-142.452649,0.165262,1,echo,0.0405
417,94.925331,-142.870818,0.171272,1,echo,0.0419
418,95.326333,-143.283600,0.175773,1,echo,0.0416
419,95.733819,-143.687164,0.178437,1,echo,0.0400
420,96.137593,-144.098468,0.178739,1,echo,0.0405
421,96.550131,-144.507894,0.177281,1,echo,0.0411
422,96.960213,-144.918510,0.174347,1,echo,0.0405
423,97.370292,-145.325088,0.169952,1,echo,0.0411
424,97.787765,-145.725629,0.164462,1,echo,0.0411
425,98.200193,-146.123236,0.158071,1,echo,0.0405
426,98.617041,-146.519067,0.150740,1,echo,0.0415
427,99.032941,-146.904633,0.142278,1,echo,0.0414
428,99.450496,-147.279547,0.133294,1,echo,0.0412
429,99.869214,-147.660115,0.123540,1,echo,0.0401
430,100.296611,-148.042832,0.112797,1,echo,0.0408
431,100.730215,-148.421890,0.101637,1,echo,0.0422
432,101.167571,-148.808018,0.090068,1,echo,0.0415
433,101.612084,-149.187996,0.078120,1,echo,0.0410
434,102.051960,-149.566723,0.066001,1,echo,0.0407
435,102.498499,-149.944773,0.054294,1,echo,0.0412
436,102.952854,-150.327700,0.043453,1,echo,0.0420
437,103.404314,-150.702420,0.033816,1,echo,0.0403
438,103.860327,-151.074809,0.025280,1,echo,0.0413
439,104.325525,-151.436935,0.018236,1,echo,0.0401
440,104.798805,-151.794064,0.012720,1,echo,0.0378
441,105.279242,-152.153682,0.009335,1,echo,0.0393
442,105.767258,-152.499302,0.008382,1,echo,0.0411
443,106.266036,-152.845754,0.009851,1,echo,0.0390
444,106.768873,-153.189794,0.012034,1,echo,0.0404
445,107.280439,-153.521646,0.015124,1,echo,0.0411
446,107.789681,-153.857752,0.019325,1,echo,0.0404
447,108.304354,-154.197463,0.024341,1,echo,0.0439
448,108.822496,-154.533890,0.029704,1,echo,0.0406
449,109.344902,-154.865935,0.033310,1,echo,0.0403
450,109.873715,-155.195236,0.035251,1,echo,0.0404
451,110.401531,-155.552368,0.006497,0,slam,0.1507
452,110.929993,-155.873335,-0.019028,0,slam,0.1517
453,111.459676,-156.155513,-0.060033,0,slam,0.1509
454,112.060837,-156.517764,-0.098497,0,slam,0.1581
455,112.578787,-156.813249,-0.127248,0,slam,0.1591
456,113.107961,-157.057357,-0.160938,0,slam,0.1510
457,113.738107,-157.398313,-0.185556,0,slam,0.1514
458,114.310054,-157.696477,-0.209927,0,slam,0.1516
459,114.898216,-157.924334,-0.247311,0,slam,0.1556
460,115.520685,-158.237441,-0.264117,0,slam,0.1560
461,116.111927,-158.502796,-0.294513,0,slam,0.1557
462,116.723124,-158.745470,-0.328201,0,slam,0.1550
463,117.331324,-159.023887,-0.351840,0,slam,0.1534
464,117.989538,-159.259923,-0.387864,0,slam,0.1525
465,118.583466,-159.468482,-0.423570,0,slam,0.1606
466,119.272671,-159.705215,-0.448628,0,slam,0.1534
467,119.911683,-159.897002,-0.471856,0,slam,0.1552
468,120.570693,-160.103352,-0.497620,0,slam,0.1569
469,121.277524,-160.313850,-0.535543,0,slam,0.1529
470,121.922716,-160.531136,-0.558303,0,slam,0.1533
471,122.687705,-160.707083,-0.582494,0,slam,0.1514
472,123.316437,-160.830436,-0.612265,0,slam,0.1560
473,124.047962,-160.993966,-0.636546,0,slam,0.1536
474,124.752370,-161.120852,-0.673497,0,slam,0.1471
475,125.491066,-161.235184,-0.700951,0,slam,0.1502
476,126.255716,-161.366342,-0.728537,0,slam,0.1519
477,126.986639,-161.452668,-0.755236,0,slam,0.1470
478,127.744439,-161.514119,-0.778849,0,slam,0.1488
479,128.474709,-161.594806,-0.804955,0,slam,0.1480
480,129.253093,-161.615393,-0.836282,0,slam,0.1545
481,130.026732,-161.649507,-0.854778,0,slam,0.1575
482,130.863807,-161.659921,-0.886168,0,slam,0.1481
483,131.571587,-161.628969,-0.910650,0,slam,0.1610
484,132.409002,-161.615020,-0.939350,0,slam,0.1552
